PN,INVENTOR
06485985,Werner Weitschies
06485985,Roman Kottiz
06485985,Thomas Bunte
06485986,Edward Robins
06485986,Jillian M. Buriak
06485986,Michael P. Stewart
06485987,Darryl Sasaki
06485987,Stacey Yamanaka
06485987,Deborah H. Charych
06486231,Ihab M. Hekal
06486350,Jay S. Tung
06486350,Laura I. Tanner
06486350,Richard C. Thompson
06486350,James E. Audia
06486350,Paul A. Hyslop
06486350,Jeffrey S. Nissen
06486401,Julian David Charles Warhurst
06486401,Andrew Frank Zaayenga
06487326,Paul Pantano
06487326,Samina S. Khan
06487326,Eunsook S. Jin
06487326,"Harold W. Stokes, Jr."
06488827,Robert Justice Shartle
06488828,Brian S. Hill
06488828,Raghbir Singh Bhullar
06488828,Douglas Paul Walling
06488829,Bradley D. Neagle
06488829,Kirk S. Schroeder
06488832,Michael J. Heller
06488872,David J. Beebe
06488872,Jeffrey S. Moore
06488935,Harald Zur Hausen
06488935,Ethel-Michelle De Villiers Zur Hausen
06489095,William Clevenger
06489095,Eoin D. Fahy
06489095,Corinna Herrnstadt
06489095,Robert E. Davis
06489095,Soumitra S. Ghosh
06489098,Jeannette Whitcomb
06489098,Christos J. Petropoulos
06489102,Robert M. Corn
06489102,Jennifer M. Brockman
06489102,Anthony G. Frutos
06489105,Alan Storey
06489105,Lawrence Banks
06489105,Greg J. Matlashewski
06489114,Charles G. Miyada
06489114,Duc Do
06489114,Ali Laayoun
06489116,Richard W. Wagner
06489125,Andrew R. Marks
06489125,Steven O. Marx
06489129,Elke Faatz
06489129,Urban Schmitt
06489129,Beatus Ofenloch-Hahnle
06489131,Frederic Donie
06489131,Rainer Wehner
06489131,Beatus Ofenloch-H&auml;hnle
06489135,Jeff A. Parrott
06489145,Jay M. Short
06489148,Alice J. Murphy
06489148,Linda S. Mansfield
06489148,Mary G. Rossano
06489159,Michael Herrler
06489159,Alex Chenchik
06489159,Paul Siebert
06489309,Harshvardhan Mehta
06489309,Rajendra Singh
06489455,Robert Bibilashvilli
06489455,Alex Chenchik
06489455,George Jokhadze
06490034,Bernd Hillerich
06490034,Peter Woias
06490075,Jon S. Schoonmaker
06490075,Richard Scheps
06490471,Vladimir Y. Baranov
06490471,Serguei Y. Semenov
06490471,Robert H. Svenson
06490530,Philip J. Wyatt
06490533,Nathan K. Weiner
06490533,Peter D. Honkanen
06490533,Timothy J. Woolaver
06491759,Sherwood D. Silliman
06491759,Hans M. Christen
06491803,Hong-Ming Lin
06491803,Wen-Chang Chen
06491803,Thomas Y. S. Shen
06491803,Jen-Hung Chuang
06491869,Daniel Dupret
06491869,Edwige Bonfils
06491869,Khuong To Vinh
06491869,Dietmar Nussbaumer
06491869,Thang Thuong Nguyen
06491869,Wolfgang Demmer
06491873,Roger Q. Roberts
06491873,Michael R. Woelk
06491938,John M. Reno
06491938,Lawrence L. Kunz
06491996,Mary Ann Digangi
06492104,Keith M. Ramsey
06492104,Miles W. Cloyd
06492108,Neil C. Corley
06492108,Purvi Shah
06492108,Karl J. Guegler
06492108,Jennifer L. Hillman
06492109,Jennifer L. Lescallet
06492109,Denise B. Thurber
06492111,David J. Ecker
06492119,Masashi Ogawa
06492122,Brenda F. Kahl
06492122,Elaine M. Weidenhammer
06492122,Ling Wang
06492122,Xiao Xu
06492122,Michael J. Heller
06492124,Yongwon Choi
06492124,Brian Wong
06492124,Daniel Besser
06492128,Yoel Kloog
06492128,Ariella Paz
06492128,Roni Haklai
06492178,Murugan R. Pandian
06492179,David Bar-Or
06492179,Edward Lau
06492179,James V. Winkler
06492500,Anthony Keith Campbell
06492601,O. Manuel Uy
06492601,Bliss G. Carkhuff
06492601,Russell P. Cain
06493097,Bengt Ivarsson
06493964,Chris Tousimis
06493964,Anastasios J. Tousimis
06494373,Takeo Tanaami
06494373,Yumiko Sugiyama
06495016,Bernd Nawracala
06495023,Gregory J. Zeikus
06495023,Mahendra K. Jain
06495023,Hyoun S. Shin
06495151,David M. McAtee
06495151,Erik J. Hasenoehrl
06495224,Robert R. Dutton
06495316,Patricia Gail Ray Goodrum
06495316,David R. Scholl
06495316,Yung T. Huang
06495320,Kevin L. Gunderson
06495320,Chao-Qiang Lai
06495320,David J. Lockhart
06495330,Thomas William Rademacher
06495330,Patricia McLean
06495340,Tamir Huberman
06495340,Yal Schiffenbauer
06495348,Yingqing Mao
06495348,Mustafa Varoglu
06495348,Min He
06495348,Paul Sheldon
06495348,David H. Sherman
06495363,Valery Bogdanov
06495366,Dennis A. Briggs
06495369,Andrew W. Toth
06495369,Joseph E. Kercso
06495369,J. Wallace Parce
06495369,Jeffrey A. Wolk
06495369,Steven A. Sundberg
06495369,Calvin Y. H. Chow
06495370,Alyson E. Mitchell
06495370,A. Daniel Jones
06495370,Bruce D. Hammock
06495370,Jiang Zheng
06495553,H. Michael Shepard
06495671,P. Dan Cook
06495671,Muthiah Manoharan
06495676,Reuel B. Van Atta
06495676,Michael L. Wood
06495676,David Albagli
06495676,Douglas Y. Thien
06495676,Peter C. Cheng
06495676,Bingfang Huan
06496020,Douglas Bruce Kell
06496020,Christopher Lyndon Davey
06496114,Thomas L. Afilani
06496250,Charles David Greskovich
06496250,Steven Jude Duclos
06497155,Ilya Feygin
06497155,Aleksandr Grinberg
06497155,Thuc H. Nguyen
06497155,Rhett L. Affleck
06497872,Joseph P. Hammang
06497872,Brent Reynolds
06497872,Samuel Weiss
06497872,E. Edward Baetge
06497945,Peter Niedner
06497945,Matthias Franke
06497945,Kathrin Choyna
06498005,Sang Jeong
06498005,Theo T. Nikiforov
06498010,Robert Ivan McConnell
06498010,Stephen Peter Fitzgerald
06498010,El Ouard Benchikh
06498010,John Victor Lamont
06498013,Andrew Sparks
06498013,Kenneth W. Kinzler
06498013,Bert Vogelstein
06498013,Victor E. Velculescu
06498016,Gainda Lal Sharma
06498016,Pradip Nahar
06498016,Utpal Bora
06498018,Melissa Carpenter
06498024,Roy R. Sooknanan
06498024,Lawrence T. Malek
06498039,Randall W. Nelson
06498497,Calvin Y. H. Chow
06498497,Morten J. Jensen
06498497,Robert E. Nagle
06498497,Michael M. Lacy
06498497,Colin B. Kennedy
06498690,Rolf Mueller
06498690,Kenneth R. Castle
06498690,Peter Ramm
06498690,Timothy Ormsby
06498690,Gang Sun
06498862,Saroj K. Mishra
06498862,David W. Koenig
06498862,Duane L. Pierson
06499361,Josiah Brown
06499361,Henry R. Costantino
06500223,Hiroyuki Kobayashi
06500223,Yuichi Sakai
06500223,Keishi Tada
06500448,Howard Bernstein
06500448,Henry Auer
06500448,M. Amin Khan
06500448,Medha M. Ganmukhi
06500448,OluFunmi Lily Johnson
06500490,Yushan Yan
06500549,Reinhold Deppisch
06500549,Katja Kr&auml;mer
06500549,Ruth Dietrich
06500549,Hermann G&ouml;hl
06500549,Ulrich Bauer
06500549,Werner Beck
06500609,Yves Ribeill
06500609,Susan Marie McComb
06500609,Pierre Monnet
06500609,"Henry David Smith, III"
06500609,Jaleh Azmi Abedi
06500612,Joe W. Gray
06500612,Daniel Pinkel
06500620,Qianjin Hu
06500620,Zaoyuan Peng
06500620,Zailin Yu
06500621,Hubert K&ouml;ster
06500625,Melvyn S. Tockman
06500625,James L. Mulshine
06500627,Galina I. Kovalevskaya
06500627,Steven Birken
06500627,John F. O&apos;Connor
06500629,Brian D. Cleaver
06500629,Mike L. Green
06500630,Antonio Bayes-Genis
06500630,Cheryl A. Conover
06500630,Robert S. Schwartz
06500631,Ursula Schindler
06500631,Peter Schindler
06500631,Hartmut Strobel
06500631,Alexander Muelsch
06500673,Jacques Toledano
06500777,Lowell Saferstein
06500777,Stephen Wolf
06500777,David M. Wiseman
06500852,Lawrence J. DeLucas
06500852,Yancho Devedjiev
06500852,Donald Muccio
06500852,Mark J. Jedrzejas
06500852,Jose Gabriel Garcia
06500852,Wayne J. Brouillette
06500852,Sadanandan E. Velu
06500852,Walter Cristofoli
06500852,Laurent Schmitt
06500852,Christie G. Brouillette
06500921,Peiming Zhang
06500921,Norman Gery Fuller
06500921,Michael Gaskin
06500921,W. Travis Johnson
06501002,Anupama R. Mirle
06501002,Donald C. Roe
06501549,Joseph D. Andrade
06501549,Chung-Yih Wang
06501549,Philip M. Triolo
06501549,Vladimir Hlady
06501549,Robert J. Scheer
06502442,Dwayne D. Arola
06502442,Mark L. McCain
06503136,Edward S. Rose
06503136,Raymond G. Wile
06503198,Jack L. Aronowtiz
06503198,Joel R. Mitchen
06503359,Jorma Virtanen
06503381,Hiroki Mure
06503381,Hiroshi Shirakawa
06503381,Masao Gotoh
06503452,Lance Kam
06503452,Steven Boxer
06503454,David A. Horine
06503454,Jaan Noolandi
06503454,Babur B. Hadimioglu
06503454,Richard H. Bruce
06503454,Scott A. Elrod
06503455,Geoffrey Kidd
06503457,Rob Neeper
06503457,John Bridwell
06503457,John Lillig
06503457,Allan Childers
06503707,Lee Ann Baxter-Lowe
06503709,Faouzi Bekkaoui
06503709,Lynn P. Cloney
06503711,Paul A. Piunno
06503711,Robert H. E. Hudson
06503711,Masad Damha
06503711,Andre H. Uddin
06503711,Ulrich J. Krull
06503715,Larry Gold
06503715,Steve Creighton
06503715,Dom Zichi
06503715,Sumedha Jayasena
06503715,Stanley Gill
06503715,Dan Drolet
06503718,Anthony P. Shuber
06503718,Steven J. Laken
06503718,William Pierceall
06503726,Lakshmi Anne
06503726,Weixing Luo
06503726,Ker-kong Tung
06503745,Shanta Bantia
06503745,Pooran Chand
06503745,Yarlagadda S. Babu
06503757,Calvin Y. H. Chow
06503760,&Ouml;sten Jansson
06503760,Magnus Malmqvist
06504010,Chaitanya S. Bangur
06504010,Liqun Fan
06504010,Gary R. Fanger
06504010,Thomas S. Vedvick
06504010,Darrick Carter
06504010,Jane Mannion
06504010,Tongtong Wang
06504010,Marc W. Retter
06504010,Michael J. Lodes
06504607,Morten J. Jensen
06504607,Volker Brombacher
06504607,Patrick Kaltenbach
06505125,Ming-Hsiu Ho
06506343,Jason H. Halsey
06506343,Jon Hoshizaki
06506343,Kevin S. Bodner
06506343,Stephen E. Moring
06506343,Alfred P. Madden
06506343,Mark F. Oldham
06506344,Oliver Kube
06506344,Karl Fickenscher
06506346,Philip Monro
06506384,Susan Zolla-Pazner
06506384,Suman Laal
06506384,John T. Belisle
06506553,Richard S. Smith
06506553,D. Elliot Parks
06506561,B&eacute;rang&egrave;re Virlon
06506561,Jean-Marc Elalouf
06506561,Lydie Cheval
06506563,Stephen Gwyn Ballard
06506563,David C. Ward
06506563,Michael Speicher
06506564,James J. Storhoff
06506564,Thomas A. Taton
06506564,Robert Elghanian
06506564,Chad A. Mirkin
06506564,Robert C. Mucic
06506564,Robert L. Letsinger
06506566,Mads Eskelund Bjornvad
06506566,Frank Mikkelsen
06506566,Borge Diderichsen
06506566,Peter Markvardsen
06506569,Jian Ni
06506569,Craig A. Rosen
06506570,Patricia V. Phelps
06506571,Neil C. Corley
06506571,Purvi Shah
06506571,Henry Yue
06506572,Katja Wosikowski
06506572,Michael Schulz
06506572,Barbara Schein
06506572,Klaus Vogt
06506572,Rolf Eisenburger
06506572,Max Hasmann
06506572,Isabel Schemainda
06506572,Elfi Biedermann
06506572,Klaus Seibel
06506572,Friedemann Reiter
06506572,Benno Rattel
06506572,Roland L&ouml;ser
06506584,Gerald J. Posakony
06506584,Cynthia J. Bruckner-Lea
06506584,Leonard J. Bond
06506584,Darrell P. Chandler
06506594,Joseph Day
06506594,Robert P. Hammer
06506594,Francis Barany
06506594,George Barany
06506594,Nancy E. Witowski
06506594,Norman P. Gerry
06506610,Werner Rey
06506610,Walter Fassbind
06506611,Heiko Kraack
06506611,Klaus Bienert
06506611,Rolf Zettl
06506611,Andreas Vente
06506701,Gary L. Bolton
06506701,Joseph S. Warmus
06506701,John C. Hodges
06506701,Mark W. Creswell
06506701,Michael W. Wilson
06506701,Richard J. Booth
06506882,Jian Ni
06506882,Guo-Liang Yu
06506882,Patrick J. Dillon
06506882,Reiner Gentz
06506885,Ross C. Beier
06506888,Alexander Karpeisky
06506888,Leonid Beigelman
06506895,Patrick E. Guire
06506895,Melvin J. Swanson
06506895,Gary W. Opperman
06506896,Norbert Windhab
06506896,Tilmann Brandstetter
06506896,Christian Miculka
06506896,Gerhard Burdinski
06506906,Peter B. Dervan
06507391,Keith L. Frost
06507391,David J. Perry
06507391,William E. Ortyn
06507391,David A. Basiji
06507391,Richard A. Bauer
06507391,James K. Riley
06507664,Jack Goodman
06507664,Norman G. Anderson
06507664,N. Leigh Anderson
06508832,Avijit Mukherjee
06508832,Marc M. Jalisi
06508832,David Anderson
06508986,N. Leigh Anderson
06508986,John Joseph Lennon
06508986,Jack Goodman
06508987,Bradley M. Wilkinson
06508987,"Robert S. Golabek, Jr."
06508988,Marc A. Unger
06508988,R. Michael Van Dam
06508988,Stephen R. Quake
06509018,Francoise Barre-Sinoussi
06509018,Sentob Saragosti
06509018,Phillippe Mauclere
06509018,Francois Simon
06509018,Ibtissam Loussert-Ajaka
06509032,Remo Bottega
06509032,Leaf Huang
06509032,Richard M. Epand
06509059,Steven A. Sundberg
06509059,Hua Yang
06509092,Jeffrey S. Dugan
06509098,Susan S. Allgor
06509098,Gladys C. Leung
06509098,Edward W. Merrill
06509105,Michael W. Olvey
06509146,Victor Bronshtein
06509148,Jae Ho Shin
06509148,Hakhyun Nam
06509148,Geun Sig Cha
06509165,Ann C. Griffin
06509165,William F. Hickey
06509167,Jeffrey T. Finer
06509167,Fady Malik
06509167,Roman Sakowicz
06509167,James J. Hartman
06509168,Ali Naqui
06509168,Andrew J. Croteau
06509168,David E. Townsend
06509168,Mark W. Pierson
06509175,Irene Ni
06509175,Laura L. Stuve
06509175,Walter H. Lee
06509175,Glenn K. Fu
06509186,Tit Meng Lim
06509186,Emmanuel Selvanayagam Zachariah
06509186,Quanbo Zou
06509186,Yu Chen
06509186,Tie Yan
06509186,Uppili Sridhar
06509195,Nico De Rooij
06509195,Milena Koudelka-Hep
06509195,Giovanni C. Fiaccabrino
06509448,Michael J. Lodes
06509448,Gary R. Fanger
06509448,Chaitanya S. Bangur
06509448,Thomas S. Vedvick
06509448,Liqun Fan
06509448,Darrick Carter
06509448,Marc W. Retter
06509448,Aijun Wang
06509448,Tongtong Wang
06509448,Jane Mannion
06510237,Dominique David
06510237,Philippe Peltie
06511463,Henry A. Wynands
06511463,Karen W. Markus
06511463,Robert L. Wood
06511592,Hugh Allen Oliver Hill
06511592,Jonathan Peter Jones
06511592,Luet-Lok Wong
06511592,Weihong Xie
06511748,Thomas H. Barrows
06511749,"Donald E. Chickering, III"
06511749,Edith Mathiowitz
06511749,Jules S. Jacob
06511749,Kathleen Jo Pekarek
06511759,Carl Schalansky
06511805,Christopher D. Gocke
06511805,Neil Christensen
06511809,Luis Baez
06511809,Michael P. Perry
06511809,Edwin R. Hendrickson
06511809,Neel Neelkantan
06511809,Richard C. Ebersole
06511822,A. Manoharan
06511822,Rita Kumar
06511822,Shikha Rastogi
06511822,Santosh Dayaram Makhijani
06511822,Alka Sharma
06511842,Sylvain Lamare
06511842,Marie-Dominique Legoy
06511849,Eugenia Wang
06511854,Alexander N. Asanov
06511854,W. William Wilson
06511854,Philip B. Oldham
06512981,David Eisenberg
06512981,Daniel Fischer
06513673,Kenneth A. Alley
06513968,Carol T. Schembri
06513969,J. Michael Brandts
06513969,Valerian V. Plotnikov
06513969,John F. Brandts
06514277,David Walsh
06514277,Lothar Lilge
06514602,Gary Wayne Gilbertson
06514602,Jianqun Zhao
06514602,Saeed Fereshtehkhou
06514685,Ricardo J. Moro
06514688,Detlef Muller-Schulte
06514689,Young San Jean
06514689,Seok Lew Lew
06514689,Jules John Magda
06514689,In Suk Han
06514693,Peter Lansdorp
06514696,Owen N. Witte
06514696,Zhigang Weng
06514697,Jiri Gut
06514697,Richard C. Nelson
06514697,Debra A. Barnes
06514697,Carolyn Petersen
06514698,R. Michael Nelson
06514698,Osvaldo J. Lopez
06514702,Chihiro Uematsu
06514702,Kazunori Okano
06514702,Kenji Yasuda
06514702,Takashi Irie
06514702,Hideki Kambara
06514702,Hiroko Matsunaga
06514702,Tomoharu Kajiyama
06514703,Jean-Michel Masson
06514703,Daniel Dupret
06514703,Fabrice Lefevre
06514704,Richard H. Bruce
06514704,Jaan Noolandi
06514704,Babur B. Hadimioglu
06514704,Joy Roy
06514704,Robert A. Sprague
06514704,David A. Horine
06514704,Scott A. Elrod
06514706,Manfred Schmidt
06514706,Christoph Von Kalle
06514713,Kristine Kuus-Reichel
06514713,Christine L. Knott
06514716,Atou L&ocirc;
06514722,Timothy M. Eisfeld
06514722,Manfred R. Koller
06514722,Bernhard O. Palsson
06514734,Melvin J. Swanson
06514734,Sheau-Ping Hu
06514734,David L. Clapper
06514734,Richard A. Amos
06514734,Terrence P. Everson
06514751,Sang Chul Park
06514751,Timothy W. Johann
06514764,"Richard C. Willson, III"
06514767,Michael J. Natan
06514768,Patrick E. Guire
06514768,Melvin J. Swanson
06514771,Michael Seul
06514772,Ivan Sondi
06514772,Egon Matijevic
06514772,Olavi Siiman
06515009,Richard A. Klein
06515009,Lawrence L. Kunz
06515039,Mathias Ulbricht
06515039,Holger Wenschuh
06515039,Rudolf Volkmer-Engert
06515039,Lothar Germeroth
06515108,Michael Robert Barnes
06515108,Tania Tamson Testa
06515120,Jae-Gyu Kwagh
06515120,Paul G. Mitsis
06515120,Kevin M. Ulmer
06515120,John J. Macklin
06515753,Torleif Ove Bjornson
06515753,Kevin Maher
06517593,Robert Allen Garrison
06517593,Larry Don Robertson
06517628,Sabine Schoen
06517628,Gerhard Pfaff
06517628,Ralf Anselmann
06517729,Philippe Campo
06517729,Patrice Cognart
06517729,Vincent Boisdon
06517729,Alain Trichet
06517729,Florent Bouquet
06517779,Edgar Diessel
06517779,Klaus Luttermann
06517779,Markus Weidauer
06517780,Lorenzo Cortelazzo
06517782,Robert E. Schneider
06517782,Gus Tseo
06517782,Glenn A. Horner
06517782,Robert J. Smith
06517782,Shirley J. Johnson
06517783,Robert J. Smith
06517783,Shirley J. Johnson
06517783,Gus Tseo
06517783,Glenn A. Horner
06517783,Robert E. Schneider
06517995,Brian N. Hubert
06517995,Joseph M. Jacobson
06517995,Colin A. Bulthaup
06517995,Eric J. Wilhelm
06518011,Thomas J. Mitchell
06518011,Dietmar A. Seiffert
06518014,David N. Standring
06518014,Robert Hamatake
06518014,Maria Seifer
06518015,Luc Montagnier
06518015,Mireille Guyader
06518015,Pierre Sonigo
06518015,Marc Alizon
06518015,Denise G Gu&eacute;tard
06518015,Francois Clavel
06518021,Kasper Almholt
06518021,Ole Thastrup
06518021,Sara Petersen Bj&oslash;rn
06518021,Soren Tullin
06518021,Kurt Scudder
06518022,Carl F. Edman
06518022,William F. Butler
06518022,Eugene Tu
06518022,Michael I. Nerenberg
06518022,Michael J. Heller
06518022,Ronald G. Sosnowski
06518024,George Maracas
06518024,Song Shi
06518024,Sean Gallagher
06518024,Vi-En Choong
06518028,Timothy L. O&apos;Brien
06518029,Preeti Lal
06518029,Olga Bandman
06518029,Neil C. Corley
06518029,Karl J. Guegler
06518029,Purvi Shah
06518029,Jennifer L. Hillman
06518035,Daniel D. Shoemaker
06518035,Matthew Ashby
06518056,Carol T. Schembri
06518056,Arthur Schleifer
06518060,Markus Schurf
06518060,Wolfgang Heimberg
06520287,Thomas C. Maganas
06520287,Alan L. Harrington
06521182,Robert Justice Shartle
06521182,Christa Hartmann
06521182,Herbert Chow
06521186,Serguei Petrovitch Mikhailov
06521186,Ilia Borisovitch Izvoztchikov
06521187,Roeland F. Papen
06521288,Patricia A. Heiden
06521288,Peter Laks
06521325,Robert T. Fehr
06521325,Caroline M. Ylitalo
06521325,Lori P. Engle
06521325,Patrick R. Fleming
06521325,Alan G. Miller
06521325,Todd R. Williams
06521336,Suekazu Itoh
06521336,Junichi Narita
06521336,Ichiro Takeishi
06521336,Tohru Sawai
06521341,Abdelhamid Elaissari
06521341,Christian Pichot
06521341,Bernard Mandrand
06521352,Dieter Lohmann
06521352,Peter Chabrecek
06521413,Chin-Chun Lu
06521413,Lorrie P. Daggett
06521413,Chen Wang Liaw
06521413,Steven B. Ellis
06521427,Glen A. Evans
06521446,Homme W. Hellinga
06521447,Yu Chen
06521447,Tie Yan
06521447,Tit Meng Lim
06521447,Emmanuel Selvanayagam Zachariah
06521447,Quanbo Zou
06521447,Uppili Sridhar
06521463,Stephen C. Wardlaw
06521465,Don Stimpson
06522975,William J. Egan
06522975,Giorgio Lauri
06523392,Michael P. Eastman
06523392,Timothy L. Porter
06524456,J. Michael Ramsey
06524456,Stephen C. Jacobson
06524482,Anthony J. DiLeo
06524482,Ronald L. Bruening
06524482,Krzysztof E. Krakowiak
06524482,Tongbo Jiang
06524590,Jacqueline E. Dawson
06524590,Burt Anderson
06524667,George P. Colgan
06524718,Michael Thieme
06524718,Martina St&ouml;lzel
06524718,Hartmut Worch
06524718,Sophie R&ouml;ssler
06524718,Dieter Scharnweber
06524790,Claudia B. Cohen
06524790,John Wallace Parce
06524790,Anne R. Kopf-Sill
06524790,Steven A. Sundberg
06524790,Andrea W. Chow
06524798,Tsai-Hsia Hong
06524798,Simon Goldbard
06524798,Emily Lin
06524798,Michael A. Zoccoli
06524804,Jean-Marie Frere
06524804,Bernard Joris
06524804,Beno&icirc;t Granier
06524804,Jacques Degelaen
06524806,Alan Wayne Shafer
06524806,H. Ralph Snodgrass
06524806,Joseph Cioffi
06524806,Thomas Joel Zupancic
06524809,Stuart Mark Wilson
06524810,Sandy Primrose
06524810,Jay Lewington
06524810,Katherine Isles
06524846,"William L. Robinson, Jr."
06524863,Jaleh Abedi
06524866,James L. Waters
06524866,Dallas E. Hughes
06524866,Yuriy M. Dunayevskiy
06525091,Hugo O. Villar
06525091,Louise Robinson
06525178,Zhidan Wu
06525178,Guillaume Adelmant
06525178,Bruce M. Spiegelman
06525178,Pere Puigserver
06525245,David M. Rhoads
06526120,Feyzi Inanc
06526120,Joseph N. Gray
06526120,Selcuk Arslan
06526121,Yeu-Kuang Hwu
06526121,Giorgio Margaritondo
06526121,Jung Ho Je
06526298,Charles F. Hanna
06526298,Shu-jen Yeh
06526298,Stanislaw Kantor
06526298,Omar S. Khalil
06526299,David Pickard
06526363,Henry Eisenson
06526363,Theodore R. Fitzpatrick
06526363,James P. Wilkinson
06527708,Shinsuke Okada
06527708,Masaru Eguchi
06527708,Ryo Ozawa
06527708,Koichi Furusawa
06527708,Tetsuya Utsui
06527708,Tetsuya Nakamura
06527762,"John T. Santini, Jr."
06527762,Scott Albert Uhland
06527762,Michael J. Cima
06527835,Ronald P. Manginell
06527835,Gregory C. Frye-Mason
06527933,Hideki Kambara
06527938,Thomas O. Bales
06527938,Scott L. Jahrmarkt
06528020,Hongjie Dai
06528020,Jing Kong
06528054,Jiangchun Xu
06528054,Jennifer L. Mitcham
06528054,Susan L. Harlocker
06528054,Yuqiu Jiang
06528054,Davin C. Dillon
06528054,William T. Hepler
06528120,Anthony S Brown
06528248,Steven T. Kunitake
06528248,Ann Bennett Lossing
06528248,David F. Head
06528248,Sherrie L. Ransom
06528248,Hala Al-Shawany
06528248,Robert H. Reamey
06528251,Kurt Hertogs
06528251,Marie-Pierre de B&eacute;thune
06528251,Rudi Pauwels
06528256,Jhy-Jhu Lin
06528256,Jonathan Kuo
06528256,Wu-Bo Li
06528257,Vishva Mitra Sharma
06528257,Kaliannan Ganesan
06528258,Terence S. Russell
06528260,Lydie Bougueleret
06528260,Ilya Chumakov
06528260,Marta Blumenfeld
06528260,Annick Cohen
06528261,Rudi Rossau
06528261,Ilse De Canck
06528261,Guy Mersch
06528264,Joydeep Lahiri
06528264,Santona Pal
06528277,Shaundrea L. Rechsteiner
06528277,Joel R. Gorski
06528277,Adam Lee
06528277,Judy K. Hendricks
06528277,Roger Fiske
06528281,James Tobin
06528291,Jia-Huey Tsao
06528291,Chao-Chi Pan
06528291,Bor-Iuan Jan
06528291,Yu-Ching Liu
06528291,Zu-Sho Chow
06528291,Chih-Wei Ho
06528291,Yao-Sung Chang
06528291,Cheng-Tao Wu
06528291,Wen-Hsun Kuo
06528302,David E. Titus
06528302,Bruce R. Turner
06528320,Tai-Tung Yip
06528320,T. William Hutchens
06528322,Jan Carlsson
06528322,Maria L&ouml;nnberg
06528391,Francois J. Henley
06528391,Nathan Cheung
06528723,Manfred Fries
06528723,Reinhard Fischbach
06528723,Thomas M&uuml;nch
06528809,Edward V. Thomas
06528809,Robert K. Rowe
06529275,Varouj Amirkhanian
06529275,Ming-Sun Liu
06530958,Linda G. Cima
06530958,Michael J. Cima
06531063,Jane Anne Rose
06531094,Toshimi Furuya
06531094,Yoshihiro Seto
06531129,Israel Vlodavsky
06531129,Iris Pecker
06531129,Yael Friedman
06531129,Tuvia Perets
06531279,Marta Blumenfeld
06531279,Lydie Bougueleret
06531279,Ilya Chumakov
06531286,Larry Gold
06531286,Sumedha Jayasena
06531289,John D. Bradley
06531289,Jeffrey B. Moore
06531289,C. Richard Wobbe
06531289,Craig M. Thompson
06531289,David A. Bailey
06531302,Lana L. Feng
06531302,Lorelei P. Westin
06531302,Carl F. Edman
06531302,Geoffrey C. Landis
06531302,Michael I. Nerenberg
06531302,Ronald G. Sosnowski
06531315,Nancy A. Hosken
06531315,Tongtong Wang
06531315,Michael D. Kalos
06531315,Samuel X. Li
06531315,Aijun Wang
06531315,Chaitanya S. Bangur
06531315,Liqun Fan
06531315,Yasir A. W. Skeiky
06531315,Gary R. Fanger
06531519,Arvind S. Patil
06531523,Maria Tsyurupa
06531523,Ludmila Pavlova
06531523,Vadim Davankov
06531559,Theodorus Tervoort
06531559,Jeroen Visjager
06531559,Paul Smith
06531559,Cees Bastiaansen
06531618,Ursula Gerigk
06531618,Oliver Schumacher
06532061,Keith L. Frost
06532061,Richard A. Bauer
06532061,David J. Perry
06532061,David A. Basiji
06532061,William E. Ortyn
06532061,James K. Riley
06533005,David A. Hill
06533255,Masato Mitsuhashi
06533255,Charles Y. Chu
06534011,Ralf Waldh&auml;usl
06534011,Norbert Danz
06534011,Michael K&ouml;hler
06534011,Frank Eismann
06534011,Andreas Br&auml;uer
06534011,Wolfgang Karthe
06534041,Bjorn Riefke
06534041,Wolfgang Wrasidlo
06534041,Wolfhard Semmler
06534041,Kai Licha
06534091,Josep-Lluis Viladot Petit
06534091,Josep Garces Garces
06534094,Jose Iturraspe
06534094,Nora Moyano
06534094,Jose Lucio Nunez
06534148,Theodore Baumuller
06534166,Rhonda Rogers Agent
06534166,Hans Joachim Pip
06534172,Tadasu Kawashima
06534270,Su Hyeon Kim
06534270,Tae Han Kim
06534270,Je Kyun Park
06534271,Sven Klussmann
06534271,Thomas Klein
06534271,Jens Peter F&uuml;rste
06534271,G&uuml;nter Von Kiedrowski
06534278,David M. Rothstein
06534282,Deanna Kroetz
06534282,Jorge H. Capdevila
06534282,Hyesook Kim
06534282,Raymond R. Novak
06534293,Francis Barany
06534293,Monib Zirvi
06534293,Brian W. Kirk
06534293,Jianzhao Liu
06534293,Philip B. Paty
06534293,Norman P. Gerry
06534307,Patrick J. Muraca
06534308,Manfred R. Koller
06534308,Timothy M. Eisfeld
06534308,Bernhard O. Palsson
06534321,Dale Robert Pfost
06534321,Paul Nicholas Goulding
06534321,Rajesh Bhikhu Parekh
06534323,Roger Sabbadini
06534325,Huiru Zhao
06534325,Krystyna Goc-Szkutnicka
06534325,Alan J. McNally
06534631,Paul Young
06534631,Steven M. Ruben
06534631,Gregory A. Endress
06534631,Kimberly A. Florence
06534631,Reinhard Ebner
06534631,Daniel R. Soppet
06534631,Craig A. Rosen
06534631,David W. LaFleur
06534631,Michael Mucenski
06534631,George Komatsoulis
06534631,Laurie A. Brewer
06534631,Yanggu Shi
06534631,Henrik Olsen
06534631,Paul A. Moore
