PN,CPC
08061509,F04D
06955787,Y10T
07374881,C12N
08951720,G01N
10086369,A61F
08401609,A61B
08623368,A61K
07939338,B82Y
09850479,G01N
08574850,A61K
08765459,G01N
08741563,C12Q
07842498,B01L
09333474,Y02E
06638621,Y10T
05945498,Y10T
07542138,G01N
06143947,Y10T
06599497,Y10T
06315953,B01L
06706532,C12Q
05866323,Y10S
07816098,G01N
08313523,A61F
08962136,C08G
07901039,C40B
07988918,G01N
04722865,C05G
06551784,B01J
09562258,Y02A
09701982,C07K
06475809,G01N
05700649,Y10S
08361780,G01N
06258558,C12N
09475046,G01N
08334097,G01N
06946131,C07K
05817459,C12Q
06576421,C12Q
06833112,G01N
07692783,G01N
08815554,B01D
09957542,C12Q
06093982,Y10T
05849495,C12Q
04737251,G01N
09079172,C07C
07989062,D04H
09177377,G01J
09785063,Y10T
05350686,C12N
07999927,G01N
08603198,Y02E
10154592,Y10T
09910043,C12Q
08574841,C07K
10126219,G01N
10087435,C12N
07745167,G01N
07427278,A61B
07396444,Y10T
08935097,C12Q
09121801,G01N
05665442,B32B
06531618,C08G
07692162,G01N
08901341,C08L
08445633,G01N
09051204,Y10T
06933331,H01C
06150147,B82Y
06936702,C07H
07115884,C40B
09310299,G01N
08068899,A61B
08318096,G01N
09255288,B01L
09772261,E21B
07745708,C07K
09574136,C08J
08529538,A61F
07105228,D01F
08986958,C12Q
05556528,A61N
07888109,C12Q
09051598,C12Q
07761239,G16H
09394171,C01B
09783861,C08H
06300135,G01N
10155357,F41H
07578973,B01D
09186646,C08B
05969128,C12Q
08951729,A61B
03953627,C09D
10214001,B32B
08306671,Y04S
09561501,B01J
09874537,G01K
10017813,G01N
10119107,B29K
06183693,G01N
07462452,C07H
08592462,Y02A
08741117,B82Y
10168259,B01L
08940135,D21H
09372196,C12N
06156527,G01N
06673567,C12Q
07837785,C09C
05800897,A61L
06395553,G01N
07091049,Y10S
08911686,G01N
09053224,G16B
05346832,Y10S
06132976,Y10S
06912412,A61B
07491554,C01B
07790040,F16K
08333933,C12Q
08975065,C12P
09285360,C07F
08734726,F01N
08133241,A61F
05897997,Y02W
09279153,C12Q
05770356,C12N
06562318,A61K
07122381,G01N
08228602,G01N
07674752,G01N
10151726,G01N
05021560,G01N
08416417,G01N
07947379,Y10S
10107807,G01N
10114019,A61M
08658387,G01N
08685841,B82Y
10155986,G16H
09896633,Y02P
07824909,G01N
07614286,G01N
07937502,G01N
09049849,C07K
09499939,G21F
09534990,G01N
09493819,G02B
05622822,C12Q
04808517,G01N
05981410,Y10T
08129118,H01F
09266251,C09D
09720001,G16B
08263001,G01N
04304257,Y10T
08771387,C07C
06111091,C07K
06576423,C07K
07008673,C08L
09897604,C07D
09845440,C10L
06410255,C12Q
07572854,C01P
07655470,Y10T
07477770,G01R
09120967,H01L
09125583,Y10T
08628917,C12N
07320894,Y10S
05541291,C12N
07455667,A61B
08020273,A61F
08308699,A61L
09139699,C08K
08715739,B82Y
09422605,C12N
06443022,G01F
09623048,A61K
05512339,C08L
07537750,Y02E
05021560,A61K
07171095,B82Y
09304084,B01J
09518186,C09K
07465562,C12Q
07777001,Y02A
06994781,B01D
08487790,H04N
07771985,C40B
05782645,H01R
05228176,B06B
05834274,A61L
09499814,C12N
08637452,G01N
08628464,Y10T
05978497,G06K
08067071,Y10T
07544953,B01L
05246772,D04H
08283139,Y02E
06630577,C07J
06268147,C12Q
10119147,C11B
05672514,G01N
08981250,Y02W
04303350,Y10T
09816139,G16B
08313523,Y10T
08425743,G01N
08969781,G01J
09447384,C12Y
06410668,C08F
08460879,G01N
06224969,Y10T
08299315,C02F
08010323,G06F
07247709,C12N
06743636,F04F
08569481,G01N
10202635,G01N
09791406,H01L
09440007,Y10T
08123929,C12Q
05092022,G05B
09274126,G01N
09732273,C01G
09759727,B82Y
09751910,C22C
08697245,B29L
08163509,C12N
06174723,G01N
05534416,Y10S
09037206,G01N
09192306,A61B
07888063,C09B
07935520,B01L
07713729,G01N
06946544,A61K
07071324,C12Q
08220493,B01L
08021331,A61F
05485527,C12Q
06704104,C40B
08137981,G01N
10149839,G01N
09255927,C07K
06309601,C07H
07670560,B01J
08380445,G01N
08822147,G01N
07309439,B03C
09121849,C12Q
08871071,B01F
09005978,B65D
09463431,B01L
09523127,C12Q
08263414,Y10T
05364930,A61K
07767058,Y10T
08651285,Y10T
09212383,G01N
05475610,B01L
07063775,G01N
04851338,A01N
09373519,G01N
08470264,B05C
05403707,C12Q
07011508,B01F
04588624,Y10T
06225061,Y10T
09968905,Y02E
04151043,C12Q
06680203,Y10T
07776529,Y10T
05872107,A61K
06974672,Y10T
08435933,Y10S
08568586,G01N
08293467,C12Q
09347941,G01N
09089498,B82B
09175165,G01N
10022364,A61K
07972782,A01K
09921229,C07K
09644026,C12N
05874214,C40B
06639060,A61K
08003332,G01N
10081772,B01J
06886443,B26F
05407653,Y02A
09341635,Y10T
05217594,Y10S
05858746,A61K
08766177,H01J
10139411,G01N
05993799,C12Y
09302966,C07C
06225059,C12Q
09115178,G01N
09533245,B01D
06607821,H01L
06096497,B82Y
08048547,Y10S
05702722,Y10T
07888061,G01N
06887714,B01J
05241060,G01N
06372517,G01N
07846669,C12Q
09746464,C12Q
07790640,A61F
05235193,B01L
08323622,C12Q
06955881,C40B
08000904,Y10T
09051929,Y10T
09486163,A61K
07384748,C12N
07509174,A61B
10066167,Y02P
07814776,G01N
08697681,C12Q
09791439,B82Y
07482732,G01N
06498024,C12N
07208271,C12N
07767397,G01N
09249467,C12Q
08865379,B41M
07964159,G02B
06399694,D04H
04618418,C02F
05491068,G01N
08753813,B82Y
07871773,G01N
09110054,G01N
10059890,B01J
09988642,A01N
05356713,C08F
06812376,G01N
05888746,G01N
08388901,B01L
09932532,B29B
09746474,G01N
08202700,C07K
04204018,C08K
04865810,Y10T
04983041,G01J
09540637,C12Y
09694350,C11C
09765270,F02C
09952127,G01N
09272003,A61L
07776269,Y10S
08367018,B01L
09421284,B01L
06416953,G11B
10010881,C10K
09044382,C12Y
08697199,C09K
04729834,B01J
06924116,G01N
08053215,C12P
09222123,C12Q
09169470,G01N
09013301,E05B
09347951,C07K
06627396,C12Q
06274726,B01D
07873407,G01N
07271009,G01N
09969765,C07H
08426232,B82Y
05248492,C08G
08206651,C12M
04870007,G01N
06863800,G01N
09017957,C07K
08680960,H01Q
09213025,C12N
09708664,C12Q
04871824,C12N
09109155,G01N
08017938,B82Y
06015609,B01D
07640947,B01L
08063264,Y10T
05171308,C08G
05374516,G01N
05266498,G01N
06340588,C40B
08985441,G01N
10168330,A61K
09290581,C12P
07578397,Y02W
06923951,Y10S
04961432,A61B
05866355,Y10S
07915395,G01N
08657752,Y10T
09102125,C08L
09958516,G01R
07422887,C12N
08176705,C04B
07022481,C12Q
05877297,C07D
04623629,Y10S
06558944,B01J
07592153,Y10S
07713528,B82Y
06514602,A61F
09528916,G01N
07108993,C04B
10007753,G16B
08123864,C13K
08258111,C12Q
07972993,C40B
08652851,Y10T
08994076,C12Q
09200024,C07K
08338492,C08F
04892830,C12M
08388891,G01N
08945915,B01J
08742336,G01N
09347037,B01J
08518311,Y10T
05403744,G01N
06921647,G01N
04713330,C12Q
08120002,G01N
08512533,B82Y
07494622,G01N
09574291,D06N
08140191,A61M
05200318,G01N
06376258,G01N
08617268,C10J
07288372,C07H
08333901,Y10T
09328088,G01N
09034578,C12N
08980299,D04H
07282705,G01N
09850483,C12N
09487795,C12N
06337393,C40B
07867217,Y10T
07981667,Y02E
08636843,C30B
04973159,G01J
05167811,C12N
07251568,Y02A
07255851,A01K
09763420,A23L
09714948,G01N
06569490,H01M
07291504,C12Q
07127146,G01N
05235039,C12N
05945679,Y10S
07195908,G01N
08142719,Y10T
06562961,C07K
10053685,C12N
08808571,F28D
05962231,C12Q
05489508,Y02A
06835311,B82Y
04863857,C07K
06933331,C01B
08053197,C07K
06403382,B05D
10156572,C07C
10132804,B82Y
06602975,C09D
06407858,B01L
06182950,Y10S
08865405,C12Q
09051204,D04H
09826954,G01N
06926965,G02B
05696175,C12N
07745004,B22F
05767222,C08G
08129106,C12Q
07087097,Y02P
09533304,G01N
08530785,Y10T
09057092,G01N
10213527,C01G
09272468,B01J
08800747,G01N
07889113,G01V
09522965,C11C
07048999,D01F
08859291,Y10T
05910288,C40B
05225332,C12Q
05122453,Y10S
06940065,H01J
05038793,B01L
09440889,Y02C
04061543,G01N
08238993,G01N
08840837,C12Q
07743928,B01L
05645986,A61K
04997815,A61K
04713324,Y10S
07713624,G01N
09016145,A61J
08692298,H01L
05482684,C12Q
05861260,C07K
05741462,G01N
06054035,G01N
08178652,G01N
09637663,C08K
06702987,G01N
07090984,Y10T
09539576,H05K
06202713,G01F
08491900,A61K
09261496,C12M
05656500,Y10S
08987418,A61K
08389107,Y10T
07182822,Y10T
07772579,G01P
06783503,G01N
05232664,G01N
08703504,Y10S
04502976,A61K
09529002,G01N
06468762,C12N
08962118,C09J
08748180,C12M
08026099,G01N
06955845,B32B
07270986,B01D
05457183,B01J
05384176,Y10T
08030061,G01N
05344760,G01N
06207446,C40B
06423271,C07H
05929208,B82Y
08889776,H01B
09481492,B65D
09188561,G01N
08932542,G01S
06194183,C12N
08691152,Y10T
07909984,A61B
06733985,G01N
06699724,A61K
10060915,C12Q
08168181,C07K
06312896,C12Q
04425428,C12Q
05770571,A61K
09371596,Y10T
10011015,G01N
08661915,G01L
09161996,G01N
07267751,B01J
07398685,G01N
05591574,A61K
07897359,G01N
10183094,A61L
06979544,G01N
08691544,B01J
08808571,C02F
04645605,B01J
05187104,C07D
09518299,H01J
09126717,B31B
09023605,C07H
04829012,G01N
07828949,G01N
09618512,C07K
07015044,G01N
08257936,G01N
05827675,C12Q
08759596,B01J
07910702,G01N
09096828,B03C
09890419,B82Y
04725390,B01D
07838247,A01K
05188942,G01N
08846580,G01N
08771966,G01N
09354159,Y10T
08900818,G01N
05329352,G02B
07591980,G01N
06270964,A01K
06660469,G01N
09341627,G01N
09664639,Y10T
10085726,G01N
04882226,B01J
06709869,F16K
05744366,C12Q
08916226,A61F
05804453,G01N
08202700,C12N
06006589,G01R
04894348,C07D
06306424,A61F
08852261,Y10T
07736587,B01J
08367414,G01N
05760118,D21H
07252812,C01B
09138439,C12N
07781172,G07C
08058010,G01N
08142996,G01N
05380589,A61F
07820824,G01N
08796028,Y10T
06994982,C12N
08232045,G01N
09534196,B01J
05262152,A61K
09019360,G01N
10183956,C07F
07129096,Y10S
08624072,Y02P
09855542,B01J
08426217,C40B
05474907,C12Q
08633261,B82Y
06746842,B01J
04502938,A61B
05160745,Y10T
08574354,G06Q
07572854,C03C
07151209,G11C
06177266,Y10T
07216681,Y10T
08580528,C07K
09778243,G01N
10220364,B29C
09745612,C12M
05674682,C12Q
07563573,C12Q
08652828,B81B
08058395,C07K
05550059,G01N
05441071,G01N
07964408,C12Q
09132396,Y10T
10115001,Y10T
09696305,C12Q
08128803,Y10S
04497862,Y10T
09416068,B01J
09920366,G16B
05019270,G01N
07579000,C07K
10240200,G16B
06565738,G01N
05604092,C07K
07332052,B65D
09061914,C10G
07745196,G01N
06548142,C02F
08068987,G16B
06254833,B01L
09709179,Y10T
08370071,C12Q
07160734,Y02A
09549956,G01N
09787815,H04N
09816231,C10L
07760069,G07C
05993972,B32B
06969615,G01N
07803370,C12Q
09241719,A61B
06498039,H01J
07217528,G01N
06051388,G01N
09101764,A61B
10163535,C10G
05705337,B82Y
05413690,Y10S
09796916,E21B
05994519,C12N
07257446,H01L
09296672,Y02E
05858556,A61F
08834423,A61L
10144656,B01J
04883642,G01N
07611863,C12Q
04292366,B32B
07897106,B01L
08778623,C12Q
08753622,C12N
08790398,A61F
05847012,A61L
08920718,G01N
06112605,C40B
08227658,C08L
07423751,G01J
04785826,Y10S
09389235,G01N
07988824,Y10T
08796581,H05H
05965276,A01N
06981427,B02C
09857373,G06T
09751083,G01N
04246101,B01J
07320876,C12Q
09228970,G05B
09733235,C12M
09050594,B01L
06550474,A61F
08384898,B82Y
04981961,B01D
06413586,Y10T
09588027,B01L
06683173,G16B
05352432,Y10T
06040063,C09D
05217881,Y10S
09718852,C07H
07129096,G01N
05843767,B01L
06846804,C12Q
09453814,Y02E
05985551,B82Y
05376381,Y10T
06361791,C07J
07688439,G01N
08652775,C12Q
06458530,B01J
10018618,C12N
08138106,Y10T
05258309,B01L
08830450,G02B
05527159,Y10T
07714463,Y02P
09750485,Y10T
08637116,Y02A
09157060,B01J
07645521,C08K
05683874,C12N
08927781,B01J
06989234,B01L
06759197,B01J
07595195,B01L
09734420,G06T
09739770,G01N
09134209,G01N
08604261,C10G
05958673,Y10S
08685229,B29C
09238808,H03K
07507472,Y10T
05047330,C12Q
06146838,Y10T
04341757,G01N
05591643,Y10T
08481281,C12Q
09557332,G01N
05466425,C02F
09101929,B81C
10173151,B01D
06974672,C12Q
07893241,C12Q
09528999,C07K
10094813,G01N
06548310,Y10T
07699056,A61F
09409178,B01L
07468243,C07D
08722413,C11B
05582801,C40B
05376531,G01N
05514501,G01N
08652831,Y10T
05021236,Y10S
06106934,Y10S
05611342,A61B
07455980,Y10S
04230797,C07H
10060874,A61B
07060487,G01N
06586190,Y10S
08658184,C03C
08241642,A61K
09175350,C12Q
07557051,B29C
07227128,G01J
09802872,C07C
05358707,C07K
05169754,Y10T
07632686,G01N
09006396,C07K
06087097,C07K
05200152,B01L
06699710,B01J
05861264,C07K
07727478,B01L
10221459,G01N
09695419,A61K
07186383,B01L
06809193,A61K
09588117,G01N
06821724,C07H
09657360,A61K
09354228,C40B
09132450,B06B
06300066,C12Q
07771959,C12N
06821484,Y10T
08551716,G02B
05849477,C07K
08886277,Y10T
05721049,C08L
05430925,B01J
07598045,A01K
09559240,H01L
08980772,D04H
10241115,G16H
08317928,C08H
05652093,G01N
07537803,C08J
07898658,Y10T
06008893,G01N
07897363,G01N
08882980,Y10S
10077480,C12Q
07754425,G01N
08529812,B29C
09511352,B01D
07779696,G01N
08697334,H01F
09394701,B29C
05691062,C08G
06307004,C08G
08698590,H01R
08354278,A61K
08110370,Y10T
07993840,G01N
07905134,G16B
09327967,B81B
07829271,C40B
05668257,C07C
08765390,C12N
09435076,C13K
09558393,G01N
09687585,B29L
09651562,G01N
05866434,B82Y
06800453,G01N
05962136,C12N
09334297,C07F
09765353,A01H
06228423,C08G
06391640,B07C
07879765,B82Y
09732273,H01B
07022813,B01J
07048923,C12N
09452182,C12Q
07713698,C12Q
09097632,G01N
06573063,A61K
06183975,Y10S
08426008,Y10S
08007744,B01J
05932173,Y10S
05118610,G01N
07261946,C08L
07317111,C07D
07468160,B01J
07759132,B01F
06540961,C40B
09011662,B41J
08283109,B81B
06113889,G01N
07312041,G01N
05541291,Y10S
08034450,A23V
07574888,C21D
09267174,C12Q
07300765,C07K
07048856,C12N
09388046,H01B
04596036,G01N
04587222,Y10S
09110026,G01N
09669154,Y10T
06013188,B03C
06255091,G01N
05462748,C07K
05650489,C40B
09975147,B07B
10202652,G16C
05863722,G01N
06316266,C12N
09571904,A61L
08252932,C07C
05437924,B32B
10202652,C12Q
07276336,C40B
08150630,G01N
08352193,C12Q
07936265,G01N
05766520,Y10S
05457185,G01N
08441637,G01N
08257741,B01J
05352673,G01N
07729749,A61B
09513255,G01N
08510067,G01K
04566460,G01H
06005916,G06T
05019498,G01N
06616860,G21F
07011776,B01J
06956032,C07D
06139675,Y10T
09228974,G01N
09623048,C12N
09725487,C12N
06514771,G02B
04578349,G01N
07914990,C12Q
07931225,B65H
09442081,G01N
07005617,B01L
07507550,C07K
06325904,G01N
06448443,C40B
05735276,A61B
09389217,B01L
10077379,G01N
07649185,G01J
09903874,C07K
04136159,C07D
04152592,Y10S
06068977,C12Q
08489233,Y10T
06542772,G01N
07981464,C01G
08558288,H01L
09216010,G01B
08097642,B82Y
07368238,Y10S
08879792,G06K
07282254,C04B
06275031,G01N
09194005,G01N
07981354,D01D
09023597,C12Q
09243444,B29K
09328219,Y10T
04812400,Y10S
09086371,G01N
09453845,H01J
07109310,G01N
07575744,A23L
09416410,A61F
08304228,C12M
07993821,B01L
08114464,Y10T
05316906,C07H
09700844,B01D
08043845,C12Q
09579830,B29L
06620591,G02B
05141719,B01L
07074576,C07K
08161826,G01N
06140041,C09B
04135131,G01N
08034307,Y10T
06214629,G01N
07931949,B65D
08367362,G01N
09005888,C12M
08691160,G01N
08147803,A61K
08823380,G01R
06548263,C40B
08283916,B01L
05863708,B01L
07071004,G01N
09436866,G01N
07666343,D04H
09352315,B01J
08063619,H02J
04241181,G01N
06605448,C12N
07966132,G01N
05431800,C23C
08192944,A01K
09417257,G01F
09517445,Y02P
09541519,G01N
07480042,B82Y
07090916,Y10T
09074997,C12Q
10191060,G01N
05665442,B29K
09487972,G07F
06287850,B01F
09589225,G06K
06771376,G01N
04859612,G01N
07850907,Y10T
07927904,B81C
09439868,C08B
08828485,B01D
09637784,C07K
09675663,A61K
05580624,B31B
06355460,C12N
10060919,G01N
09182324,Y10T
08748153,C02F
08252594,Y10T
08653927,A61N
07810233,A61N
07906337,G01N
10036056,C12Q
09292660,G01N
08623596,G01N
08026049,G01N
08835000,Y10T
10125322,Y02P
08258487,G02B
05948685,B01L
07830513,B01L
07244611,B01L
08202697,B01L
10030220,Y10T
08605279,B01L
06678050,E21B
06073812,B65D
05707352,A61M
04580451,G01N
08468871,G01D
05698393,G01N
07968833,G01N
07939274,C07K
08871481,B03C
08874378,G16B
06987563,G01N
07332111,B01F
05304334,Y10S
09556496,C10L
06513968,C40B
09765142,G01N
03975157,G01V
06573368,C12Q
08709743,Y10T
06416959,Y10S
07559481,B01L
07169361,Y10T
09428800,C12Q
05665474,C08G
05084041,G01N
07799864,C08K
08616040,A61F
05026933,C07C
05306550,Y10T
05217594,C12Q
07629136,G01N
05192685,C12R
08334617,H02J
06391562,Y10S
06045727,C07F
09441267,C12Q
04716102,G01N
04783973,G01N
07891549,G01N
07045310,C07F
09453811,G01N
07603201,Y10T
08840552,A61B
08685426,C08L
04767700,C12Q
08603198,C11B
09689034,G01Q
06410235,C12Q
06789040,G01N
07011852,A61K
06705152,C01B
08061509,Y10T
05262066,A61L
06935165,G01N
07964410,Y10T
07618782,G01N
09261499,G01N
08586299,C12Q
07951436,B32B
06123819,C12Q
07045362,G01N
07473059,Y10T
08809506,Y10S
04431544,B01D
09678038,G01N
04795698,G01N
06468649,C08L
09999694,G01N
05196247,B65D
07157551,C07K
08013128,A61K
07476543,Y10T
09012163,B01L
08815140,B05D
09116157,G01N
05470382,Y02W
05993662,Y10T
07692131,G06T
07419651,G11C
09895690,B01L
03968011,G01N
07201873,B29L
07993931,Y10T
08046171,Y10T
09151743,C12Q
07977120,C07D
09486641,Y10T
08637262,C07K
08076001,C08L
09611145,Y02P
09101311,G01N
05811236,C07H
08999652,G01N
10010436,B23K
06642004,G01N
08937284,G01N
09766166,B03C
05696175,B29B
06329161,Y10S
08992654,C05G
08355768,Y10T
09897535,G01N
08415616,H01J
09168114,Y10T
09757704,C08F
09982310,C12Q
06326149,G01N
07993525,H01F
09483686,G06T
09069130,G02B
05665474,Y10T
06998094,Y10T
06943034,Y10S
04828386,Y10S
09516758,H01L
09649626,B01J
05965133,C03C
07192560,B01F
08173957,H01J
09040256,C12Q
08815177,B01L
04342566,G01N
06168778,G01N
07396809,A01K
07865312,G01N
07081954,B01J
09212379,Y10T
06900048,C07H
10111988,A61C
05905024,B01J
04204769,C04B
08568966,G01N
09429564,A61B
09896712,C12N
06203503,B01L
08034554,C12Q
06004767,C12Q
06303304,C12Q
08796038,G01N
07892993,D04B
05881443,Y10S
10106837,C12N
05220938,Y10T
08163504,G01N
06337078,A01N
04370234,C02F
08702961,Y10T
08354074,F16K
05612540,A61B
07914893,C01P
06197143,Y10S
05677126,C40B
08440470,G01N
06867860,G02B
08635028,B01L
07537665,D06N
09739798,B82Y
07020947,A61F
06979073,Y10T
07670555,B25J
08993252,G01N
09279747,Y10T
04501726,H01F
08039668,C07C
04716123,G01N
06855292,Y10T
09389220,G01N
07785841,Y10T
08454987,A61L
09149952,B41J
08722350,G01N
05489530,C12N
06261774,C07K
10040525,B63B
09347440,Y10T
06941033,G01N
07599799,C12Q
07842175,C12Q
09640375,H01J
07666619,A61K
08999429,B05D
05502116,A61L
04401536,B29K
08414957,C09D
05569146,B31D
06187214,B33Y
06296020,F15C
06825026,A01K
09567633,C12Q
07837821,B29K
06582930,G01N
06048687,C12Q
07922917,C12N
09096690,C08J
04867817,B29C
09664679,B01L
04960130,B01L
07275572,C08L
09457080,A61K
04001088,C12Q
04925804,G01N
08975458,C10J
07695905,C07K
08244370,A61B
05690894,G02B
05455175,G01N
08321136,G06K
10202610,C07K
09340708,C09J
10174267,Y02E
07873399,C12Q
08367881,C10B
09783594,C07K
06222093,G16C
04444498,A61M
08671783,A01N
09856505,C12Q
07232689,Y10T
06920239,G06K
09084819,Y10T
05397710,G01N
08706466,G16C
06238869,C40B
08484000,G06F
06300091,G01N
06534307,B82Y
08871068,G01N
05593658,A61K
06132992,C12N
06017768,C07B
07744994,C08K
09422607,C12Q
09822390,C12Q
09017643,A23V
07838282,C02F
07351592,G01N
06750033,Y10S
09441308,H01L
07695925,G01N
04576175,A61B
05527679,Y10S
08298551,C07K
05935484,D06M
09671409,Y10T
08865408,C12Q
05789160,F02B
05169757,Y10S
07595108,Y10S
08298677,C09K
09718001,C08B
07955559,B82Y
07396508,G01N
06899881,G01N
08120689,H04N
07001572,B01J
08568973,B01L
09389234,G16C
07635578,C07H
05334617,A61K
09995750,G01N
04784912,G01N
09952211,G01N
04772561,Y10T
10003752,H04N
09198609,A61B
08277949,Y10T
08097405,C07K
05785976,Y10T
07659063,B01J
08968706,A61K
09555087,G01N
06699542,Y10T
07223735,Y10T
07306164,Y10T
05306550,Y10S
05710381,G05D
06793938,A61K
09983397,G01T
06946362,Y10T
09845429,Y10T
09956179,A01N
09753031,G01N
05496453,C12Q
09067984,G01N
08530197,C12N
05739000,G06F
06586750,G01N
05840290,A61F
06838067,B01J
09556478,B01L
08275466,A61B
05599844,C07K
09034658,G01N
09353342,C12Q
05326370,A61F
08268901,C08L
08318310,C08G
08278118,Y10T
05144008,C12N
06184027,C12Y
09428703,Y02P
10202442,A61K
09669992,B29L
08747797,C05D
04977026,C08F
04344857,A01N
09623146,Y10T
06048704,G01N
06017699,C12Q
07892749,C07K
05362624,G01N
08107076,G01B
09625477,Y10T
09772330,G01N
07019305,G01N
09244057,G01N
05880071,H02N
08017124,G01N
04394487,C07D
09482663,G01N
09173973,B29C
06433244,A61F
10238767,C08G
06156478,Y10T
06331402,G01N
06709821,G01N
07776530,C12Q
04857273,Y10S
08872627,B01L
06716592,C07K
08512502,F16K
05212057,C12Q
04292366,D21H
06921664,C12Y
06667180,Y10T
06558548,C02F
09487416,C02F
04766064,C12Q
05763566,B82Y
08145019,G01N
08501404,C12Q
08779221,C12N
08148302,C12Q
09333479,B01J
08835387,Y02A
09078920,H01F
08455244,C07K
09770537,A61K
09844764,C40B
04581333,C12Q
04732863,C12N
09845236,B81B
09983162,G01N
09066884,A61L
06216025,Y10S
09334519,G01N
07934645,G07C
07122330,C12Y
05252317,C07C
09523683,C40B
07785409,Y10S
08297384,Y10T
06821729,F04B
09675953,B22F
05024828,G01N
07449305,G01N
05035900,C12N
08911683,B01F
10136820,A61K
05985540,C07K
09029099,A61K
05543186,B65D
07078061,C12Q
08906402,A61L
08936708,B01L
04125492,Y02A
09696310,G01N
09470688,G06F
08901621,H01L
07682794,G01N
09492648,A61M
09902990,C12M
06969401,Y10T
08710153,B82Y
05974901,G01P
08195408,G01N
06961599,A61B
06194142,C12N
05726017,C12Q
05902728,C12Q
09953763,H01F
09869666,G01N
10160184,A41D
09502711,A61K
06653124,C12M
05776693,C12Q
09146243,G01N
04235871,Y10S
07879573,G01N
06511749,A61K
07563880,C07K
10124335,F16K
10088473,G06F
07880641,Y10T
05952462,B82Y
08440811,Y10T
05612030,A61K
07781166,G01N
08293524,B01L
09352294,H01M
09018351,G01N
07390672,B01L
08759007,B01J
04969468,A61N
08725426,G16B
07235287,Y10T
06263250,A61N
05593851,C12Q
08192944,G01N
07425543,B01J
07455813,Y10T
07090993,Y10S
05700370,Y02W
08663974,B01L
08445642,G01N
05451466,G03G
05229163,G01N
06660176,Y02C
08927672,G01N
09597656,Y02C
06667394,B41M
07790031,Y10S
04087331,C12Q
09266105,G01N
10010881,B01J
09572879,C12N
06355726,C07C
08466436,G01N
09165097,G01N
06026325,A61N
08969023,C12Q
08095350,G16B
09110017,G05D
08298562,A61K
08921099,G01N
10060916,G01N
06916541,C07B
09315688,C08K
08921628,C10G
08435354,D01F
07864380,G01N
07838222,C40B
08993065,C08F
07431685,C40B
09243034,C12Q
10100198,C07D
05643267,A61L
06960443,G01N
07947513,Y10T
06663954,B02C
08874182,A61B
07462452,C12Q
08685641,G01N
07285422,C40B
08377477,A61K
06849052,A61B
07833701,C40B
04404296,A01N
06261808,C12Q
08879812,B82Y
09186426,A61L
05919530,C08J
08852527,Y10T
08471221,G01N
09421284,A61K
09149374,D06C
09121851,G16H
09255922,C08F
04272398,B29C
07964388,G01N
08741590,Y10S
09927443,G01N
06140067,G01N
07534263,A61B
08151600,Y10T
09598281,G01Q
09528997,C07K
09637526,C07K
07205161,C08F
06438398,A61K
06780320,Y10T
06756014,G01N
08091551,B01D
09926362,A61K
08114596,C12Q
10080287,H01R
09804151,A61K
10242851,H01J
07112305,B01J
08637048,Y02A
07666610,A61K
07109030,A61K
05858683,G01N
07202389,B04C
09354170,G01N
06572751,A61Q
06699987,C12N
06277413,A61K
05484537,A61M
08715739,B01J
06867048,B01J
04883641,B65D
04741043,G01N
07886577,G01N
10005842,H04W
08370068,G16B
06673596,Y10S
07910383,B01J
07074610,G01N
08614100,B01J
04587044,C07H
09421477,B01D
09476854,G01N
08173073,C07H
09446101,A23V
09511024,A61K
05942252,Y10T
07605003,Y10S
04839215,A61L
04030995,C12Q
07813013,G01N
09464127,C07K
08801742,Y10T
07501301,H05K
05356521,G01N
06438261,G06K
07172864,C07K
10208130,C07K
10209188,B64C
09026395,G01N
08815778,C09B
05443791,B01L
07826975,G01N
08942926,A61B
07967984,Y02W
09116145,H05K
09829437,B01L
08184298,G03H
08697452,G01N
07947486,C40B
06475742,A61K
06979541,C12Q
08465914,C12Q
08584486,E05D
05910545,A61F
08071737,C07K
05705337,C12Q
07410564,G01N
07060992,G01N
09011358,B01L
09738529,B01J
10132809,A61K
09040299,Y10T
10036098,G01N
08512533,C23C
06423271,F04B
06290915,B01J
06821729,C07H
07070987,G02B
07084096,C09K
10015940,A01G
05519931,Y10T
10106848,G01N
07298488,G01N
05895631,B01L
05856249,D04B
08364411,A61B
04894328,G01N
06879855,Y10T
06804544,A61B
09691510,C13K
05262404,A61L
06130036,C12N
07052244,G01N
06673541,C12Q
08686240,C12Q
08263366,Y02A
08927264,C12M
09046650,G02B
10031117,G06T
09822134,C12N
05843791,C12Q
04859078,G01N
06030829,Y02P
07163680,A61K
08273253,B01L
10059915,C12M
07229785,C12Q
04818678,C07K
06946197,Y02E
06977138,Y10T
06060153,B32B
07026570,B01J
08666201,G02B
07546671,Y10T
05057437,Y10T
09371387,C12N
08076461,C12P
05958686,C12Q
08507739,B01J
07214427,G01N
09273321,G01N
08425860,Y10T
05916755,G01N
09581586,G01N
09629989,B33Y
06927056,Y02A
06248229,G01N
09404928,G01N
09448173,C09B
09737829,B01J
10030076,A61K
08940236,G02B
06365278,Y10S
06664061,B01J
06699672,G01N
06181425,G01B
08101393,Y02E
05989854,Y10S
08057901,B82Y
09662652,Y10T
09862610,C01D
07332283,Y10S
05780368,D04H
03981983,C12Q
05711867,B01J
08647465,B81C
08947201,A47B
