PN,CPC
09221119,B23K
09546936,B01D
09186646,C12P
08012321,G01N
06907138,G01N
08308684,Y10T
07851226,Y10T
08380020,Y10T
08609432,Y10S
07262032,C12Q
07601301,Y10T
10190168,A61K
05484524,Y02W
08458879,A61F
08347427,G01K
07943398,Y10T
07695925,A61K
05589155,C12N
08663926,G01N
08349435,E04D
08715960,C07K
08758991,G01N
05270167,G07D
08247174,C12Q
06682702,Y10T
05415282,A61B
07931950,B29L
09739508,F28F
07879418,C08L
09927418,G01N
04178438,B01J
06429018,G01N
09360471,G01N
08844365,G01N
07586612,B01L
07402262,C12Q
07674777,A61K
06632671,B01J
09403749,C07C
07635585,F15C
07731904,C40B
09982302,A61K
05405752,G01N
09528144,Y10T
07713201,G01N
08026057,C12Q
06569382,C40B
07361278,B01L
06194612,B01J
07005274,G01N
09380973,G01N
09393234,G01N
09675973,G01N
07217457,Y10T
08974854,A01N
08849424,A61B
05618552,A61L
06096509,G01N
07469564,Y10T
09498643,A61N
05830539,A61L
06001573,G01N
05567317,B01J
07770437,B05D
08673634,C12N
08273567,G01N
07736689,C09D
05700486,A61K
07105297,C12N
06511463,A61M
07910058,Y10T
05908609,A61K
10048261,A61B
06977723,G01N
04815843,G01N
09193985,C12Q
08080645,C12N
08017124,A61K
10183072,C12N
09666321,G01N
07001496,Y10T
05525521,G01N
07597850,B01L
06391185,B01J
05929049,C08H
09146221,C23C
04211766,G01N
06646243,B01L
05591574,C07K
09850548,G01N
06143412,C04B
04237906,A61B
07097811,Y10T
09604168,B01J
08236487,C07K
05846487,G01N
05747666,G01N
08372657,Y10T
08004373,H01L
05759863,A61K
10190133,Y02A
09890420,C12Q
06458599,G01N
08053245,G01N
08753874,C12M
07084096,B01J
08927243,C07K
05776677,A01K
09851363,G01N
05306768,C12Q
04676070,G01N
07935253,Y10T
07103402,G01N
09372149,B01L
06309831,G07C
09244068,Y10T
10023894,G01N
08551709,C12Q
04911970,Y10T
07807271,D21H
09353543,E04H
08765827,C08K
09091691,G01N
10048200,Y10S
08021613,Y10T
05183809,C08L
09365776,C10G
05192541,Y10S
07189816,G01N
08828210,B01J
08507739,Y02E
06479625,C08G
05882864,C07K
05501948,C12N
05985594,C12M
06924921,C30B
07666818,Y02P
07153699,G01N
06448033,C07K
08936805,Y10T
10183155,A61B
05442967,G01N
05384187,Y10T
07217356,B01D
05873254,A01N
10073056,G01N
04677027,Y10T
05376553,Y10S
06190407,Y10T
07885770,C12Q
07258786,Y10T
08463375,H01G
07393653,G01N
08062721,Y10T
07662555,G01N
06573063,G01N
09316655,G01N
08987150,A62D
06077674,C12N
07320785,C12N
08592202,G01N
05770151,B01L
07071287,Y10T
08383337,G01N
09096690,Y10T
09795596,C12Q
09636021,G01N
09018000,Y10T
05027438,B32B
05858187,Y10S
04783523,Y10S
06544739,C07H
08304186,B04B
08999721,G01N
09638639,A61K
10144771,A61K
06699987,Y10T
05624711,B05D
07740806,Y10T
08647821,C25B
06780510,A61L
05972661,B01F
06899873,Y10T
07309589,C12Q
09745573,C12N
10120005,G01R
05030418,G01N
04073090,Y10T
07276287,D01F
06974873,G01N
09351797,G01N
09695412,C12N
05719060,Y10T
05908752,C12P
08066649,A61B
08728299,G01N
05846519,Y10S
07001733,C12N
09896680,C12N
09669154,C12N
08377717,B82Y
09846158,Y02A
06627226,G01N
07611869,C12Q
07501053,C12Q
08869815,F16K
09586215,B05B
06864065,B01J
09731291,G01N
05755942,B01J
09393092,C08G
09487561,A61K
08518713,G01N
07439078,G01N
06399334,C12Q
08425864,G01N
05177012,C12N
09039636,B01F
08071286,C12Q
08951476,Y02P
09554779,A61B
08252540,C07K
07686907,B32B
06090543,C12Q
06265546,A61K
07141375,B82Y
06837926,B33Y
06645748,C07K
09510777,G01N
06503711,Y10S
04818684,Y10S
06278038,G01N
09835539,B01L
08853667,Y10S
06017739,C12Q
09072499,G01N
09639057,B65H
04113613,B01J
06121009,C12Q
09696308,C07K
07087181,B29L
09108314,Y10T
09012185,G01N
10236078,G01N
07790472,G01N
07238524,G01N
09162024,B44C
09718218,B33Y
09044741,Y02P
09243444,B29L
07939492,Y10T
07993907,C12Q
10065915,C11C
09446124,C07K
06274337,B01J
07382909,G01N
08647489,C12Q
09540637,C12Q
08900818,A61K
08083836,C01B
09836577,G16B
09528979,G01N
05507962,C10M
05958671,G01N
07824924,G01N
09568488,G01N
06124449,C07H
07612635,H03H
08936610,Y10T
10232382,B03C
05679381,B01F
05355439,G05B
08710244,G01N
05262650,G01N
07293473,G01N
07563569,B01J
05281521,G01N
05298429,C07K
08143012,C12Q
09382550,A01H
05241030,B29K
07652191,G01N
09221056,C12Q
07150812,G01N
07851144,C12Q
08871957,C07D
07129554,H01L
06630121,A61K
08083836,C12M
05424186,G03F
07374882,C12Q
09296066,B23K
09371550,Y02E
09962677,B01J
07019267,G01N
05645934,C08L
09489474,G01N
10090117,H01G
06074660,C08L
07813013,G02B
07371349,C40B
05864026,B82Y
09372181,C07D
09567346,C08B
06008009,Y10S
05763065,D04H
10175251,G01N
09212387,C12Q
07932297,C10J
07412990,B33Y
07794962,C07K
08501399,Y10S
07964278,C30B
09631239,G16B
05837464,C12Q
07083673,C08J
10031093,A61N
09080213,C12Q
08940548,Y10S
05246772,Y10T
06387614,C12Q
08939364,G01N
07431887,Y10T
09453814,B82Y
06315852,Y10S
05861264,G01N
08021844,C12P
09771429,G01N
08951465,A61L
07914897,C08G
07029845,C07K
05457141,A61F
07534336,G01N
06306959,B01J
07485424,C12Q
09372186,C12Q
07714275,H01J
08444855,B01D
05743775,Y10T
09637793,C40B
07087740,C07K
06303702,B01J
07847245,G01N
08445261,Y10S
07572644,C12Q
04818763,Y10S
06399071,B01J
07754893,C09B
07169550,G03H
08663579,G01N
03966764,Y10T
08535761,C09D
10168341,G01N
08940236,G01N
05491072,C12Q
08774494,G06T
04708933,G01N
04942123,A61K
07247499,G01N
08498821,G06F
07318907,G01N
08292825,C12Q
08007647,B01D
05547834,C12N
06770460,C12N
09341641,A61M
09180144,A61L
09726630,G01N
05688642,B01J
07030372,B01D
08092917,C08J
09964557,G06T
05292840,B01J
08129111,Y10T
08642274,A61K
04987539,B07C
08547533,C07K
09945865,C12Q
09793563,F02C
08236243,B82Y
06773922,Y10T
08759251,B01J
10172979,C08L
07491325,Y02W
08182867,Y10T
06284497,C07B
07256275,C07B
09464328,C12N
06201068,C08L
09895695,Y10T
07977468,A01K
06284267,A61K
09333463,G01N
09499869,A61K
09097632,G02B
09233110,Y10T
05624831,G01N
06479239,B01L
07732575,C12Q
06734000,C12M
09877706,A61B
08993261,C07K
07901871,Y10S
08265878,C12Q
06004767,Y10S
09482664,G01N
08297384,B62M
06151123,G01N
07643664,G01N
04267143,Y10T
06416959,C12N
07115385,C12Q
09879057,C07K
04874696,C12Q
06743773,A61F
06737236,B01J
04543339,G01N
06660484,A61K
07244275,A61F
07031846,G16B
08066953,B09B
09360493,B01L
07790376,A61M
08012587,Y10T
08377390,Y10T
08323986,A61L
09709267,F23B
06203978,B01J
04978503,G01N
07846412,A61K
09464334,B01J
06440745,C01P
09592396,H05K
09914126,A61B
06690817,G01N
06531523,C08F
06897951,G01J
10145845,G01N
07842629,Y10T
04597832,D21C
09744155,A61K
08882746,A61M
07419601,B01D
05683868,C12Q
07582445,A61K
06472036,Y10T
06479233,C12Q
08604905,G06K
05330897,A61K
05505828,G01N
06168924,Y10T
08155999,B01J
04135131,G01R
05919576,G01N
07759113,A61F
09804147,H01F
06685754,Y02E
05401378,B82Y
08940687,A61K
06550474,Y10T
10206902,C07D
06037138,G01N
09206386,G01N
09220831,B01L
05985563,C07K
05310662,C12N
07381440,A61B
09737641,A61L
04442162,Y10T
06660367,C08L
08703505,Y10S
08894946,C12Q
07993860,C07K
09676168,B32B
07205110,A61K
06596476,C12N
06344653,G02B
08039818,G01N
06063633,C40B
08898069,A61B
08497004,C08J
09132398,B01F
09850546,C12Q
08374418,Y10T
04816413,Y10S
04561981,C23F
06342611,Y10S
06673532,G01N
07927789,Y10S
07764822,G06K
04818680,Y10S
07271896,G01N
06162603,B01J
09642943,A61F
04824578,B01D
07544423,B27D
10016183,G01N
08811680,G06T
09128083,C08F
09562177,C09J
05393527,Y02A
06368800,C12Q
07494770,B01L
06057159,B01L
08792227,Y02E
08715447,B01F
06127311,C08F
07725169,G01N
06207816,C07K
07615257,C23C
09023308,B82Y
08975984,B06B
07880565,B06B
07280866,A61B
08734844,B01J
05932353,Y10T
07431887,C40B
07238792,Y10T
08138154,G01N
09945870,C12Q
05550021,C12Q
08122596,A61N
08076129,B01L
06881542,C12Q
06635226,G01N
09717841,G01N
06120768,A61K
05470744,F25D
05288532,B32B
09128072,Y10T
09983397,G02B
09395371,C22C
04111657,G01N
08470264,B05D
09487838,C12Q
08623295,Y10T
07998196,Y10T
09968929,B01L
06908479,C23F
09175084,G01N
06868308,Y10T
08508100,Y10T
05167811,B01J
07973933,G01N
07807609,C09K
06322810,A61Q
06326215,B82Y
06844081,C08K
08535799,A61K
09910045,G01N
06685754,C10L
07291501,G01N
06294392,B01L
07118900,Y10T
04806337,Y10T
08383338,C12Q
05756304,Y10S
09243194,B01J
08647837,A61K
04478914,Y10T
09359649,C12Q
09606108,C12M
08536162,C07F
09587098,C08L
08129114,C12Q
08987539,C10M
09572861,C07K
09084819,B82Y
06849127,G01N
09840708,C12Y
08959833,C12N
05463027,G01N
06190856,G01N
07335808,B01J
09644623,B01F
09863880,B01L
07846412,Y02A
07259018,G01N
07023544,C12Q
06569405,Y10S
08386047,A61N
09857327,G01N
06787349,B01J
05846724,G01N
07829868,G01J
09885664,B65D
06884628,G01N
05811128,Y10S
06951575,B01J
09181634,B82Y
06238928,G01N
09040287,G01N
09486545,A61K
09611508,C12Q
05151264,Y10T
09469799,C09D
09861978,B01L
06936474,B01J
08778376,A61L
05922858,C07K
08192980,B01J
08188424,G01N
05744419,C01B
05863726,C12Q
08194514,G01N
06028054,A61K
05543295,C07D
07853409,B01L
07172814,D21H
05382451,C09J
09410949,G01N
09771429,C07K
04971900,C12M
09623394,B82Y
10041126,G01N
05214288,G01N
06489129,Y10S
06576459,G01N
05081228,C12N
06471136,F24F
07902345,C12Q
09375873,H01Q
06429302,C07K
07422859,C12Q
07727575,Y10T
07627201,Y10S
08030094,Y10T
06685826,A01K
04092245,B01J
05912116,C08J
07309862,G01N
05958790,G01N
09515159,C12Q
07598045,Y02A
09945864,C07K
04563417,C07K
07439056,C40B
08779029,C08F
09464284,A61K
04822741,C08L
08569009,G01N
06531315,A61K
07335259,C30B
09631169,G01N
09624540,C12Q
08735084,C04B
04683062,C12M
06025473,A61K
08916554,C12Q
09885664,G01N
05437979,C40B
05543186,B29K
05723598,C07H
10076753,B01L
05149425,G01N
05853993,C12Q
09625444,C12N
09963694,C12N
06340744,C07D
05258313,A61K
05185244,C12N
09278327,B09B
10022719,C25B
07396590,C08G
05369005,C12Q
08771710,A61K
08512948,C12Q
09481477,Y10T
09932646,C12Q
09181438,B05D
05298164,C02F
06927034,G01N
07947450,A61B
09314795,B29B
07777020,A61K
05783455,G01N
07276042,B01J
08283139,A23L
09913959,A61B
10161012,G01N
08883087,G01N
09868988,C12Q
08335654,G16B
07608259,A61K
08034576,G06K
07825380,G01N
08983783,G01N
07015048,Y10S
06139782,C12Q
05965354,C12Q
07695680,B01L
08112869,A61B
08465933,G01N
05804263,C23C
07813016,G01N
09687542,G01N
06165992,A61K
08372655,G01N
08946489,H01J
08501427,G01N
08287610,C01B
03960827,Y10S
05663306,Y10S
08663604,G01N
07811768,B82Y
08368880,G01N
08256046,B32B
09528139,B01D
09206416,B01D
09797007,C12Q
04999340,G01N
06933119,C12Q
06235494,Y10S
05057598,C07K
06746846,C07K
09988688,C12Y
04277249,G01N
05042502,G01N
08536234,B01J
10112995,C07K
07603167,H04N
08597878,C12N
09730596,G01N
07018530,C02F
08227205,C12Q
06874355,C12M
06863833,B81B
07604983,C12Q
06203985,G01N
09586341,Y02E
08455194,C12Q
08420333,G01N
08604169,A01K
08038907,H01L
09599545,B04B
04237906,A61J
09658160,F21V
06228904,C01P
06908987,G01N
07218202,G07C
09556496,G21F
05747242,G01N
08034632,G01N
08545581,C10C
06287780,C40B
06287870,G02B
05776710,G01N
07148056,G01N
07686934,G01N
07663487,G08C
10190100,C12Y
05211688,Y10T
08436145,C07K
08137920,G01N
09340763,F28D
07279294,C12Q
06156208,G01N
08283117,G01N
09891184,C07D
05155166,Y10S
09433924,B01J
09057694,C08L
06432636,G01N
08784095,B01J
07833799,Y10T
06645616,B32B
06291155,C12Q
05300421,C12Q
07108996,G01N
08101402,G01N
05869596,Y10T
07332351,Y10T
06271195,B01J
05985555,B01L
07582327,G02B
09683229,C12Q
04310624,C12Q
07241388,C02F
08445206,C12Q
06737165,C09J
09659153,G16B
08197743,B33Y
08932485,C12Q
10093963,B01L
05494682,B01J
06699684,C12Q
08218150,G01N
06323043,B01J
06468763,G01N
05763281,G01N
07198901,G01N
05738902,C09D
09364477,C12Q
09128101,G01N
08501117,B01L
07977112,Y10T
07632674,C12M
06316190,A61K
08906685,B33Y
09056154,A61L
09487558,A61Q
03966410,G01N
08897853,A61B
04478914,Y10S
05603960,Y10S
04686853,G01N
07285384,C12Q
07273590,Y10T
07385053,C07C
07985710,C01B
05049359,G01N
04554249,C12Q
07594314,F16K
09459200,G01N
06863971,D21H
09266902,C07D
06432397,G01N
09243198,Y10T
05189914,G01L
06291178,B01L
08137942,G01N
06352824,C07F
06236945,Y10T
05877007,G01N
08147668,B01F
09465024,G01N
10138193,B01J
06740745,C12Q
05495006,A61K
06403367,B01J
04831664,A62B
07052244,H02N
05767775,H01H
07235365,A61K
06506564,B82Y
09926534,B01L
04062936,Y10S
04048079,B01J
05997972,Y02W
07550299,G01N
07964139,F04B
06312823,B32B
05858746,C09D
07055237,Y10T
08821798,G01N
07655427,A61K
10191058,G01N
09493709,Y02P
05139881,B05D
09063133,G01N
06022691,C12Q
08349617,B41D
07625414,C01B
09914103,B01J
05599844,A61K
07763283,A61L
09834442,H05H
09920376,C12Q
06190615,B01L
08110370,C12Q
08198025,G01N
09907117,B01L
09795961,B01L
08034314,G01N
09193800,C12N
09024086,C07C
06299767,B01D
06232071,F02B
05458779,Y02W
08680016,G01N
06454797,A61F
09969887,G01N
09278327,C12P
09797905,C12Q
05865754,G01N
06165335,C12Q
06513969,G01N
08293053,B29L
07195823,B27K
08834514,B29C
08380268,G01N
09161527,Y10T
08796901,H02N
06277573,G01N
08334134,D01F
08101024,C12P
06423271,C40B
05593838,G01N
05637481,C07K
09390846,C09D
09758757,C12N
09440480,C09D
05601988,G01N
06287521,C12Q
06031710,A61N
06649357,Y10T
07846361,B29L
09823191,G01N
10107807,G02B
06316274,Y10S
08333934,Y10T
07723027,C12Q
08920729,G02B
09840690,C12M
10059979,H01F
09404158,A61K
10005969,C07C
06245427,Y10T
07745110,C07K
07776547,Y10T
09797825,G02B
09606114,B01J
